ip,domain
12.120.17.15,adsatt.espn.go.com
12.120.21.105,Adsatt.go.starwave.com
12.120.21.15,adsatt.espn.go.com
12.120.25.15,adsatt.espn.go.com
12.120.29.105,Adsatt.ABCNews.starwave.com
12.120.29.15,adsatt.espn.go.com
12.120.33.15,adsatt.abc.starwave.com
12.120.37.15,adsatt.espn.go.com
12.120.41.105,adsatt.espn.go.com
12.120.41.15,adsatt.espn.starwave.com
12.120.45.15,Adsatt.go.starwave.com
12.120.5.15,adsatt.abc.starwave.com
12.120.69.15,adsatt.espn.starwave.com
12.120.81.105,adsatt.espn.starwave.com
12.120.81.15,Adsatt.go.starwave.com
12.120.9.105,adsatt.espn.go.com
12.120.9.15,Adsatt.ABCNews.starwave.com
12.129.204.125,flowgo.com
12.129.206.71,ads.ipowerweb.com
12.130.14.155,Adsatt.go.starwave.com
12.130.3.118,bridgetrack.com
12.130.50.205,adsatt.espn.go.com
12.130.62.118,avenuea.com
12.130.62.126,atdmt.com
12.130.86.86,advert.bayarea.com
12.14.172.204,openad.travelnow.com
12.153.224.22,etrade.com
12.158.234.169,adserver.gorillanation.com
12.163.148.9,ads.businessweek.com
12.163.148.99,ads.businessweek.com
12.171.94.36,ads.websiteservices.com
12.171.94.38,ads.websiteservices.com
12.171.94.40,7search.com
12.46.185.206,infinite-ads.com
12.47.46.231,gostats.com
121.0.16.130,dmtracking.alibaba.com
121.10.132.223,v1.cnzz.com
121.10.132.235,v1.cnzz.com
121.10.173.39,ads8.com
121.11.149.28,js.users.51.la
121.11.69.211,js.users.51.la
121.11.69.212,js.users.51.la
121.12.173.157,51yes.com
121.12.173.212,51yes.com
121.14.35.166,v1.cnzz.com
121.14.35.167,v1.cnzz.com
121.254.178.252,e-debtconsolidation.com
121.254.178.253,e-debtconsolidation.com
121.35.188.203,fxstyle.net
121.35.188.56,fxstyle.net
122.224.146.36,js.users.51.la
122.224.146.77,js.users.51.la
122.225.99.192,v1.cnzz.com
122.228.242.250,v1.cnzz.com
122.228.243.240,v1.cnzz.com
122.228.243.250,v1.cnzz.com
122.248.194.35,tpnads.com
122.248.195.213,tpnads.com
122.248.196.57,tpnads.com
122.248.199.249,tpnads.com
122.248.200.168,tpnads.com
122.248.205.210,tpnads.com
122.248.205.92,tpnads.com
122.248.214.178,tpnads.com
122.248.216.111,tpnads.com
122.248.216.179,tpnads.com
122.248.217.40,tpnads.com
122.248.219.94,tpnads.com
122.248.250.236,s2d6.com
123.125.115.43,eiv.baidu.com
123.125.115.50,eiv.baidu.com
123.125.115.51,eiv.baidu.com
124.108.65.81,marketingsolutions.yahoo.com
124.232.159.240,v1.cnzz.com
124.232.159.250,v1.cnzz.com
124.36.209.244,banners.freett.com
125.46.39.91,ads8.com
125.46.73.195,js.users.51.la
125.46.73.250,js.users.51.la
125.46.73.252,js.users.51.la
125.7.34.1,adsfac.net
125.7.34.11,adsfac.net
125.7.34.12,adsfac.net
125.7.34.123,adsfac.net
125.7.34.13,adsfac.net
125.7.34.16,adsfac.net
125.7.34.17,adsfac.net
125.7.34.2,adsfac.net
125.7.34.6,adsfac.net
125.7.34.7,adsfac.net
125.76.224.240,v1.cnzz.com
125.76.224.250,v1.cnzz.com
125.76.247.240,v1.cnzz.com
125.76.247.250,v1.cnzz.com
125.89.71.11,ads8.com
125.89.71.39,ads8.com
128.11.42.61,burstnet.com
128.121.236.169,tyroo.com
128.140.168.154,ads.icq.com
128.140.168.160,ads.icq.com
128.140.168.65,ads.icq.com
128.140.168.66,ads.icq.com
128.140.169.131,ads.icq.com
128.140.169.133,ads.icq.com
128.140.169.135,ads.icq.com
128.140.169.137,ads.icq.com
128.140.169.139,ads.icq.com
128.140.169.141,ads.icq.com
128.140.169.143,ads.icq.com
128.140.169.145,ads.icq.com
128.140.169.147,ads.icq.com
128.140.169.149,ads.icq.com
128.140.169.192,ads.icq.com
128.140.169.194,ads.icq.com
128.140.169.196,ads.icq.com
128.140.169.198,ads.icq.com
128.140.169.202,ads.icq.com
128.140.169.204,ads.icq.com
128.140.169.206,ads.icq.com
128.140.169.208,ads.icq.com
128.140.169.222,ads.icq.com
128.140.169.226,ads.icq.com
128.140.169.228,ads.icq.com
128.140.169.232,ads.icq.com
128.140.169.242,ads.icq.com
128.140.169.244,ads.icq.com
128.140.169.248,ads.icq.com
128.241.88.160,track.anchorfree.com
128.241.88.161,track.anchorfree.com
128.241.88.55,box.anchorfree.net
128.242.118.131,ad-souk.com
128.242.118.139,quinst.com
128.242.120.21,oascentral.chicagobusiness.com
128.242.120.22,ads.space.com
128.242.127.7,dmtracking2.alibaba.com
128.242.247.185,ads10.speedbit.com
128.242.249.133,ad.digitallook.com
128.242.252.86,humanclick.com
129.121.239.156,linkswaper.com
129.121.53.4,linkswaper.com
129.250.159.170,iwin.com
129.33.228.192,ru4.com
130.117.88.10,publicidad.elmundo.es
130.117.88.11,publicidad.elmundo.es
130.117.88.12,publicidad.elmundo.es
130.117.88.13,publicidad.elmundo.es
130.117.88.14,publicidad.elmundo.es
130.117.88.15,publicidad.elmundo.es
130.117.88.151,publicidad.elmundo.es
130.117.88.152,publicidad.elmundo.es
130.117.88.153,publicidad.elmundo.es
130.117.88.154,publicidad.elmundo.es
130.117.88.16,publicidad.elmundo.es
130.117.88.17,publicidad.elmundo.es
130.117.88.18,publicidad.elmundo.es
130.117.88.19,publicidad.elmundo.es
130.117.88.20,publicidad.elmundo.es
130.117.88.21,publicidad.elmundo.es
130.117.88.22,publicidad.elmundo.es
130.117.88.23,publicidad.elmundo.es
130.117.88.4,publicidad.elmundo.es
130.117.88.5,publicidad.elmundo.es
130.117.88.6,publicidad.elmundo.es
130.117.88.7,publicidad.elmundo.es
130.117.88.8,publicidad.elmundo.es
130.117.88.9,publicidad.elmundo.es
130.94.18.222,tyroo.com
130.94.183.145,berp.com
130.94.201.230,whenu.com
130.94.21.10,secure.webconnect.net
130.94.70.82,secure.webconnect.net
130.94.74.189,shareasale.com
130.94.79.174,entercasino.com
131.253.13.32,adserver.bing.com
131.253.33.200,adserver.bing.com
133.237.4.12,ba.afl.rakuten.co.jp
134.0.26.179,top-casting-termine.de
137.254.16.65,ads.sun.com
14.136.202.31,adx.atnext.com
14.63.233.90,adimg1.chosun.com
140.174.9.160,track.anchorfree.com
140.174.9.161,track.anchorfree.com
140.174.9.55,box.anchorfree.net
140.186.79.19,ad.cooks.com
140.186.79.30,ad.cooks.com
140.186.79.35,ad.cooks.com
140.186.79.36,ad.cooks.com
140.211.167.54,ads.linuxfoundation.org
140.211.169.112,ads.linuxfoundation.org
140.211.169.30,ads.linuxfoundation.org
140.211.169.32,ads.linuxfoundation.org
140.211.169.4,ads.linuxfoundation.org
140.99.102.68,ads.betanews.com
140.99.94.175,static.fmpub.net
141.0.173.86,trafficfactory.biz
141.0.173.87,trafficfactory.biz
141.0.23.181,mr-rank.de
141.101.112.11,gamesites200.com
141.101.112.119,netaffiliation.com
141.101.112.42,adf.ly
141.101.113.119,netaffiliation.com
141.101.113.42,adf.ly
141.101.114.4,ads.imgur.com
141.101.115.4,ads.imgur.com
141.101.116.137,mystat.pl
141.101.116.64,joetec.net
141.101.117.137,mystat.pl
141.101.117.64,joetec.net
141.101.123.119,netaffiliation.com
141.101.123.42,adf.ly
141.138.198.120,webcash.nl
141.8.224.183,pay-ads.com
141.8.224.185,referralware.com
141.8.224.25,enginenetwork.com
141.8.224.67,go-clicks.de
141.8.225.1,123found.com
141.8.225.21,adcept.net
142.4.0.31,affiliate.mogs.com
142.4.210.21,top90.ro
